datetime,log key,log data
2018:10:02:23:18:52:517,79-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:18:53:532,80-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:18:54:539,81-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:18:55:550,82-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:18:56:554,83-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:18:57:559,84-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:18:58:574,85-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:18:59:606,86-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:00:628,87-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:01:633,88-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:02:648,89-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:03:650,90-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:04:661,91-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:05:676,92-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:06:676,93-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:07:677,94-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:08:678,95-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:09:682,96-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:10:762,97-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:11:771,98-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:12:772,99-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:13:772,100-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:14:786,101-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:15:787,102-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:16:796,103-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:17:805,104-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:18:833,105-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:19:901,106-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:20:903,107-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:21:926,108-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:22:928,109-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:23:933,110-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:24:943,111-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:25:954,112-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:26:980,113-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:27:982,114-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:28:988,115-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:29:992,116-Account-CheckCancel,cancelling = false, num orders=0
2018:10:02:23:19:30:237,117-Account-Entry,: new entry for SELL: price=757795: size=0.03: id=JRF20181002-141931-245176
2018:10:02:23:19:30:237,118-MMStrategy,ordered sell @757795
2018:10:02:23:19:30:341,119-Account-Entry,: new entry for BUY: price=757712: size=0.03: id=JRF20181002-141931-776879
2018:10:02:23:19:30:341,120-MMStrategy,ordered buy @757712
2018:10:02:23:19:30:549,121-Accoubt-getAllOrders,: cancelling SELL for 757795 x 0.03 id=JRF20181002-141931-245176
2018:10:02:23:19:30:628,122-Accoubt-getAllOrders,: cancelling BUY for 757712 x 0.03 id=JRF20181002-141931-776879
2018:10:02:23:19:31:232,123-Account-CheckCancel,sendChiledOrderAsync-dummy
2018:10:02:23:19:31:305,124-Account-CheckCancel,getChildOrderAsync-ACTIVE
2018:10:02:23:19:31:997,125-Account-CheckCancel,getChildOrderAsync-ACTIVE
2018:10:02:23:19:32:554,126-Account-CheckCancel,getChildOrderAsync-ACTIVE
2018:10:02:23:19:32:981,127-Account-CancelOrder,failed cancel order: {"status":-111,"error_message":"Order not found","data":null}
2018:10:02:23:19:33:051,128-Account-CancelOrder,failed cancel order: {"status":-111,"error_message":"Order not found","data":null}
2018:10:02:23:19:33:235,129-Account-CheckCancel,getChildOrderAsync-ACTIVE
2018:10:02:23:19:33:259,130-Account-CancelOrder,failed cancel order: {"status":-111,"error_message":"Order not found","data":null}
