datetime,log key,log data
2018:09:30:20:00:07:628,60-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:629,61-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:629,62-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:630,63-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:630,64-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:630,65-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:631,66-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:631,67-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:632,68-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:632,69-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:636,70-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:637,71-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:637,72-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:637,73-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:638,74-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:638,75-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:638,76-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:638,77-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:639,78-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:639,79-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:639,80-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:640,81-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:640,82-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:640,83-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:641,84-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:641,85-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:641,86-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:642,87-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:642,88-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:643,89-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:643,90-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:643,91-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:644,92-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:644,93-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:644,94-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:645,95-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:645,96-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:647,97-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:649,98-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:649,99-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:650,100-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:650,101-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:651,102-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:651,103-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:651,104-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:652,105-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:652,106-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:652,107-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:653,108-Account-CheckCancel,getChildOrderAsync-ACTIVE
2018:09:30:20:00:07:653,109-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:655,110-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:656,111-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:656,112-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:657,113-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:657,114-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:657,115-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:658,116-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
