id,datetime,side,price,size,buy_child_order_acceptance_id,sell_child_order_acceptance_id
400153763,2018:09:02:06:51:45:370,BUY,808653,0.01,JRF20180902-065145-361700,JRF20180902-065144-050456
400153764,2018:09:02:06:51:45:370,BUY,808671,0.01,JRF20180902-065145-361700,JRF20180902-065144-966995
400153765,2018:09:02:06:51:45:370,BUY,808698,0.26,JRF20180902-065145-361700,JRF20180902-065145-541057
400153766,2018:09:02:06:51:45:370,BUY,808700,0.22,JRF20180902-065145-361700,JRF20180902-065140-151589
400153767,2018:09:02:06:51:45:448,BUY,808695,0.2,JRF20180902-065145-541060,JRF20180902-065145-016922
400153768,2018:09:02:06:51:45:526,SELL,808645,0.078329,JRF20180902-065145-541058,JRF20180902-065145-800691
400153769,2018:09:02:06:51:45:558,SELL,808645,0.001671,JRF20180902-065145-541058,JRF20180902-065145-453433
400153770,2018:09:02:06:51:45:558,SELL,808641,0.02,JRF20180902-065145-151611,JRF20180902-065145-453433
400153771,2018:09:02:06:51:45:573,SELL,808639,0.01,JRF20180902-065144-111776,JRF20180902-065145-453433
400153772,2018:09:02:06:51:45:573,SELL,808601,0.05,JRF20180902-065144-227882,JRF20180902-065145-453433
400153773,2018:09:02:06:51:45:573,SELL,808587,0.08,JRF20180902-065145-541061,JRF20180902-065145-453433
400153774,2018:09:02:06:51:45:573,SELL,808580,0.00123867,JRF20180902-064757-045780,JRF20180902-065145-453433
400153775,2018:09:02:06:51:45:573,SELL,808579,0.02,JRF20180902-065106-697462,JRF20180902-065145-453433
400153776,2018:09:02:06:51:45:573,SELL,808579,0.01,JRF20180902-065122-090984,JRF20180902-065145-453433
400153777,2018:09:02:06:51:45:573,SELL,808576,0.10709033,JRF20180902-065105-697459,JRF20180902-065145-453433
400153778,2018:09:02:06:51:45:636,BUY,808646,0.0391645,JRF20180902-065145-050459,JRF20180902-065145-453434
400153779,2018:09:02:06:51:45:636,BUY,808650,0.02,JRF20180902-065145-050459,JRF20180902-065145-966997
400153780,2018:09:02:06:51:45:730,BUY,808668,0.06,JRF20180902-065145-361702,JRF20180902-065145-800693
400153781,2018:09:02:06:51:45:730,BUY,808676,0.1344,JRF20180902-065145-361702,JRF20180902-065145-800690
400153782,2018:09:02:06:51:45:730,BUY,808684,0.02,JRF20180902-065145-361702,JRF20180902-065145-697624
